# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  120       4.500574110656e-10       1.373190027609e-13      -4.808079389767e-12       0.000000000000e+00 
  121       4.546550716530e-10       1.385439634074e-13      -4.884457152534e-12       0.000000000000e+00 
  122       4.592631854873e-10       1.397141604575e-13      -4.959428193282e-12       0.000000000000e+00 
  123       4.638803526225e-10       1.408282332129e-13      -5.032917691605e-12       0.000000000000e+00 
  124       4.685057547023e-10       1.418850471445e-13      -5.104854259470e-12       0.000000000000e+00 
  125       4.731386730845e-10       1.428835628534e-13      -5.175167562435e-12       0.000000000000e+00 
  126       4.777783195564e-10       1.438227914241e-13      -5.243787513268e-12       0.000000000000e+00 
  127       4.824238343133e-10       1.447017960035e-13      -5.310644306965e-12       0.000000000000e+00 
  128       4.870742839379e-10       1.455196933811e-13      -5.375668455756e-12       0.000000000000e+00 
  129       4.917286593785e-10       1.462756555681e-13      -5.438790824116e-12       0.000000000000e+00 
  130       4.963858739282e-10       1.469689113774e-13      -5.499942663777e-12       0.000000000000e+00 
  131       5.010447612039e-10       1.475987480030e-13      -5.559055648735e-12       0.000000000000e+00 
  132       5.057040731248e-10       1.481645125998e-13      -5.616061910264e-12       0.000000000000e+00 
  133       5.103624778914e-10       1.486656138628e-13      -5.670894071925e-12       0.000000000000e+00 
  134       5.150185579643e-10       1.491015236072e-13      -5.723485284575e-12       0.000000000000e+00 
  135       5.196708080432e-10       1.494717783478e-13      -5.773769261380e-12       0.000000000000e+00 
  136       5.243176330457e-10       1.497759808787e-13      -5.821680312822e-12       0.000000000000e+00 
  137       5.289574877552e-10       1.500138297133e-13      -5.867154029695e-12       0.000000000000e+00 
  138       5.335893163534e-10       1.501852075006e-13      -5.910129337730e-12       0.000000000000e+00 
  139       5.382121547503e-10       1.502901047954e-13      -5.950546722953e-12       0.000000000000e+00 
  140       5.428249918837e-10       1.503285947597e-13      -5.988347641534e-12       0.000000000000e+00 
  141       5.474267685976e-10       1.503008349183e-13      -6.023474558917e-12       0.000000000000e+00 
  142       5.520163765202e-10       1.502070689156e-13      -6.055870988937e-12       0.000000000000e+00 
  143       5.565926569420e-10       1.500476282723e-13      -6.085481532946e-12       0.000000000000e+00 
  144       5.611543996936e-10       1.498229341412e-13      -6.112251918937e-12       0.000000000000e+00 
  145       5.657003420242e-10       1.495334990643e-13      -6.136129040665e-12       0.000000000000e+00 
  146       5.702291674792e-10       1.491799287288e-13      -6.157060996773e-12       0.000000000000e+00 
  147       5.747395047784e-10       1.487629237240e-13      -6.174997129911e-12       0.000000000000e+00 
  148       5.792299266942e-10       1.482832812972e-13      -6.189888065864e-12       0.000000000000e+00 
  149       5.836989489296e-10       1.477418971105e-13      -6.201685752672e-12       0.000000000000e+00 
  150       5.881450289959e-10       1.471397669974e-13      -6.210343499756e-12       0.000000000000e+00 
  151       5.925665650914e-10       1.464779887187e-13      -6.215816017037e-12       0.000000000000e+00 
  152       5.969618949787e-10       1.457577637195e-13      -6.218059454062e-12       0.000000000000e+00 
  153       6.013294175746e-10       1.449803841035e-13      -6.217031684157e-12       0.000000000000e+00 
  154       6.056679727944e-10       1.441471884983e-13      -6.212693104262e-12       0.000000000000e+00 
  155       6.099764950339e-10       1.432596054179e-13      -6.205005984367e-12       0.000000000000e+00 
  156       6.142538931386e-10       1.423191693436e-13      -6.193934269201e-12       0.000000000000e+00 
  157       6.184990499064e-10       1.413275224048e-13      -6.179443618602e-12       0.000000000000e+00 
  158       6.227108215909e-10       1.402864160603e-13      -6.161501447885e-12       0.000000000000e+00 
  159       6.268880374038e-10       1.391977127796e-13      -6.140076968219e-12       0.000000000000e+00 
  160       6.310294990187e-10       1.380633877236e-13      -6.115141226994e-12       0.000000000000e+00 
  161       6.351339800736e-10       1.368855304264e-13      -6.086667148192e-12       0.000000000000e+00 
  162       6.392002256740e-10       1.356663464759e-13      -6.054629572760e-12       0.000000000000e+00 
  163       6.432269518960e-10       1.344081591954e-13      -6.019005298981e-12       0.000000000000e+00 
  164       6.472128452892e-10       1.331134113246e-13      -5.979773122843e-12       0.000000000000e+00 
  165       6.511565623800e-10       1.317846667006e-13      -5.936913878414e-12       0.000000000000e+00 
  166       6.550567291741e-10       1.304246119394e-13      -5.890410478207e-12       0.000000000000e+00 
  167       6.589119406600e-10       1.290360581167e-13      -5.840247953559e-12       0.000000000000e+00 
