# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       4.938459089491e+05       3.092527195566e-09       9.370415790618e-01       5.279335333488e+05       1.416888265710e+04       2.869084001609e-02       6.997258903471e+09       5.408155326764e-01       1.636622174626e+11       2.999508021435e+08       1.609554701309e+09       3.462620761484e-08       1.131420926680e+11       2.787138156341e+11       2.787138156341e+11       9.226810337689e+10      -3.945467710616e+11       2.140650809911e-04       6.004504080827e-02 
       4.934480657507e+05       3.097510193120e-09       9.377957713696e-01       5.270847249188e+05       1.416888190291e+04       2.871397047100e-02       6.991621537721e+09       5.412506667319e-01       1.631354691130e+11       2.992264646506e+08       1.605667861171e+09       3.462620761484e-08       1.127779438039e+11       2.778183072428e+11       2.778183072428e+11       9.197113763898e+10      -3.929611799684e+11       2.140754406850e-04       6.005025458995e-02 
       4.930505430548e+05       3.102501215204e-09       9.385505696591e-01       5.262372823619e+05       1.416888114811e+04       2.873711957237e-02       6.985988713435e+09       5.416861501698e-01       1.626104161078e+11       2.985038763272e+08       1.601790407186e+09       3.462620761484e-08       1.124149669563e+11       2.769256773476e+11       2.769256773476e+11       9.167512768803e+10      -3.913819618600e+11       2.140858017804e-04       6.005547435388e-02 
       4.926533406033e+05       3.107500274728e-09       9.393059744143e-01       5.253912034790e+05       1.416888039270e+04       2.876028733524e-02       6.980360426955e+09       5.421219832696e-01       1.620870529905e+11       2.977830329493e+08       1.597922316688e+09       3.462620761484e-08       1.120531583530e+11       2.760359166931e+11       2.760359166931e+11       9.138007044782e+10      -3.898090911188e+11       2.140961642784e-04       6.006070010458e-02 
       4.922564581383e+05       3.112507384624e-09       9.400619861244e-01       5.245464860749e+05       1.416887963669e+04       2.878347377464e-02       6.974736674625e+09       5.425581663107e-01       1.615653743222e+11       2.970639303031e+08       1.594063567064e+09       3.462620761484e-08       1.116925142340e+11       2.751490160535e+11       2.751490160535e+11       9.108596285205e+10      -3.882425422298e+11       2.141065281802e-04       6.006593184656e-02 
       4.918598954018e+05       3.117522557846e-09       9.408186052715e-01       5.237031279578e+05       1.416887888007e+04       2.880667890562e-02       6.969117452792e+09       5.429946995731e-01       1.610453746815e+11       2.963465641852e+08       1.590214135759e+09       3.462620761484e-08       1.113330308514e+11       2.742649662328e+11       2.742649662328e+11       9.079280184428e+10      -3.866822897808e+11       2.141168934870e-04       6.007116958432e-02 
       4.914636521364e+05       3.122545807366e-09       9.415758323448e-01       5.228611269394e+05       1.416887812285e+04       2.882990274327e-02       6.963502757807e+09       5.434315833367e-01       1.605270486644e+11       2.956309304018e+08       1.586374000270e+09       3.462620761484e-08       1.109747044693e+11       2.733837580644e+11       2.733837580644e+11       9.050058437790e+10      -3.851283084617e+11       2.141272602001e-04       6.007641332238e-02 
       4.910677280846e+05       3.127577146186e-09       9.423336678301e-01       5.220204808351e+05       1.416887736501e+04       2.885314530264e-02       6.957892586023e+09       5.438688178818e-01       1.600103908843e+11       2.949170247699e+08       1.582543138148e+09       3.462620761484e-08       1.106175313641e+11       2.725053824113e+11       2.725053824113e+11       9.020930741612e+10      -3.835805730643e+11       2.141376283205e-04       6.008166306528e-02 
       4.906721229894e+05       3.132616587325e-09       9.430921122130e-01       5.211811874635e+05       1.416887660657e+04       2.887640659884e-02       6.952286933795e+09       5.443064034889e-01       1.594953959721e+11       2.942048431160e+08       1.578721527001e+09       3.462620761484e-08       1.102615078237e+11       2.716298301659e+11       2.716298301659e+11       8.991896793192e+10      -3.820390584814e+11       2.141479978495e-04       6.008691881753e-02 
       4.902768365938e+05       3.137664143812e-09       9.438511659846e-01       5.203432446470e+05       1.416887584751e+04       2.889968664697e-02       6.946685797484e+09       5.447443404387e-01       1.589820585757e+11       2.934943812771e+08       1.574909144488e+09       3.462620761484e-08       1.099066301484e+11       2.707570922498e+11       2.707570922498e+11       8.962956290801e+10      -3.805037397070e+11       2.141583687883e-04       6.009218058365e-02 
       4.898818686409e+05       3.142719828705e-09       9.446108296288e-01       5.195066502114e+05       1.416887508785e+04       2.892298546213e-02       6.941089173450e+09       5.451826290122e-01       1.584703733604e+11       2.927856351000e+08       1.571105968323e+09       3.462620761484e-08       1.095528946501e+11       2.698871596139e+11       2.698871596139e+11       8.934108933683e+10      -3.789745918356e+11       2.141687411380e-04       6.009744836819e-02 
       4.894872188744e+05       3.147783655081e-09       9.453711036367e-01       5.186714019860e+05       1.416887432757e+04       2.894630305946e-02       6.935497058060e+09       5.456212694904e-01       1.579603350087e+11       2.920786004417e+08       1.567311976274e+09       3.462620761484e-08       1.092002976528e+11       2.690200232382e+11       2.690200232382e+11       8.905354422048e+10      -3.774515900618e+11       2.141791149000e-04       6.010272217567e-02 
       4.890928870378e+05       3.152855636040e-09       9.461319884958e-01       5.178374978036e+05       1.416887356669e+04       2.896963945410e-02       6.929909447679e+09       5.460602621547e-01       1.574519382201e+11       2.913732731691e+08       1.563527146164e+09       3.462620761484e-08       1.088488354921e+11       2.681556741315e+11       2.681556741315e+11       8.876692457074e+10      -3.759347096798e+11       2.141894900752e-04       6.010800201063e-02 
       4.886988728751e+05       3.157935784703e-09       9.468934846955e-01       5.170049355005e+05       1.416887280519e+04       2.899299466120e-02       6.924326338681e+09       5.464996072868e-01       1.569451777113e+11       2.906696491591e+08       1.559751455867e+09       3.462620761484e-08       1.084985045156e+11       2.672941033319e+11       2.672941033319e+11       8.848122740897e+10      -3.744239260834e+11       2.141998666651e-04       6.011328787761e-02 
       4.883051761302e+05       3.163024114211e-09       9.476555927267e-01       5.161737129165e+05       1.416887204309e+04       2.901636869591e-02       6.918747727437e+09       5.469393051684e-01       1.564400482157e+11       2.899677242986e+08       1.555984883312e+09       3.462620761484e-08       1.081493010826e+11       2.664353019060e+11       2.664353019060e+11       8.819644976613e+10      -3.729192147649e+11       2.142102446707e-04       6.011857978116e-02 
       4.879117965476e+05       3.168120637726e-09       9.484183130771e-01       5.153438278948e+05       1.416887128036e+04       2.903976157343e-02       6.913173610325e+09       5.473793560816e-01       1.559365444842e+11       2.892674944844e+08       1.552227406481e+09       3.462620761484e-08       1.078012215641e+11       2.655792609492e+11       2.655792609492e+11       8.791258868276e+10      -3.714205513156e+11       2.142206240933e-04       6.012387772582e-02 
       4.875187338716e+05       3.173225368433e-09       9.491816462378e-01       5.145152782821e+05       1.416887051703e+04       2.906317330893e-02       6.907603983725e+09       5.478197603087e-01       1.554346612840e+11       2.885689556232e+08       1.548479003410e+09       3.462620761484e-08       1.074542623427e+11       2.647259715857e+11       2.647259715857e+11       8.762964120888e+10      -3.699279114246e+11       2.142310049340e-04       6.012918171615e-02 
       4.871259878471e+05       3.178338319535e-09       9.499455926980e-01       5.136880619286e+05       1.416886975309e+04       2.908660391761e-02       6.902038844018e+09       5.482605181321e-01       1.549343933994e+11       2.878721036316e+08       1.544739652185e+09       3.462620761484e-08       1.071084198127e+11       2.638754249680e+11       2.638754249680e+11       8.734760440405e+10      -3.684412708787e+11       2.142413871941e-04       6.013449175670e-02 
       4.867335582188e+05       3.183459504260e-09       9.507101529525e-01       5.128621766880e+05       1.416886898852e+04       2.911005341469e-02       6.896478187590e+09       5.487016298345e-01       1.544357356317e+11       2.871769344361e+08       1.541009330950e+09       3.462620761484e-08       1.067636903801e+11       2.630276122772e+11       2.630276122772e+11       8.706647533727e+10      -3.669606055624e+11       2.142517708748e-04       6.013980785203e-02 
       4.863414447319e+05       3.188588935853e-09       9.514753274889e-01       5.120376204175e+05       1.416886822335e+04       2.913352181539e-02       6.890922010829e+09       5.491430956990e-01       1.539386827986e+11       2.864834439728e+08       1.537288017896e+09       3.462620761484e-08       1.064200704623e+11       2.621825247228e+11       2.621825247228e+11       8.678625108697e+10      -3.654858914567e+11       2.142621559773e-04       6.014513000670e-02 
       4.859496471318e+05       3.193726627585e-09       9.522411168018e-01       5.112143909774e+05       1.416886745756e+04       2.915700913496e-02       6.885370310127e+09       5.495849160085e-01       1.534432297346e+11       2.857916281881e+08       1.533575691272e+09       3.462620761484e-08       1.060775564884e+11       2.613401535424e+11       2.613401535424e+11       8.650692874099e+10      -3.640171046395e+11       2.142725425027e-04       6.015045822528e-02 
       4.855581651640e+05       3.198872592743e-09       9.530075213806e-01       5.103924862320e+05       1.416886669116e+04       2.918051538863e-02       6.879823081877e+09       5.500270910467e-01       1.529493712908e+11       2.851014830376e+08       1.529872329375e+09       3.462620761484e-08       1.057361448989e+11       2.605004900021e+11       2.605004900021e+11       8.622850539655e+10      -3.625542212846e+11       2.142829304523e-04       6.015579251232e-02 
       4.851669985741e+05       3.204026844641e-09       9.537745417201e-01       5.095719040485e+05       1.416886592414e+04       2.920404059167e-02       6.874280322477e+09       5.504696210969e-01       1.524571023349e+11       2.844130044872e+08       1.526177910558e+09       3.462620761484e-08       1.053958321457e+11       2.596635253956e+11       2.596635253956e+11       8.595097816019e+10      -3.610972176619e+11       2.142933198273e-04       6.016113287242e-02 
       4.847761471081e+05       3.209189396609e-09       9.545421783132e-01       5.087526422979e+05       1.416886515650e+04       2.922758475936e-02       6.868742028327e+09       5.509125064432e-01       1.519664177512e+11       2.837261885122e+08       1.522492413225e+09       3.462620761484e-08       1.050566146922e+11       2.588292510451e+11       2.588292510451e+11       8.567434414780e+10      -3.596460701364e+11       2.143037106288e-04       6.016647931013e-02 
       4.843856105121e+05       3.214360262009e-09       9.553104316510e-01       5.079346988546e+05       1.416886438825e+04       2.925114790697e-02       6.863208195829e+09       5.513557473695e-01       1.514773124404e+11       2.830410310977e+08       1.518815815830e+09       3.462620761484e-08       1.047184890132e+11       2.579976583005e+11       2.579976583005e+11       8.539860048451e+10      -3.582007551682e+11       2.143141028582e-04       6.017183183005e-02 
       4.839953885326e+05       3.219539454221e-09       9.560793022320e-01       5.071180715961e+05       1.416886361938e+04       2.927473004981e-02       6.857678821388e+09       5.517993441602e-01       1.509897813194e+11       2.823575282385e+08       1.515148096883e+09       3.462620761484e-08       1.043814515948e+11       2.571687385393e+11       2.571687385393e+11       8.512374430474e+10      -3.567612493121e+11       2.143244965166e-04       6.017719043675e-02 
       4.836054809159e+05       3.224726986634e-09       9.568487905453e-01       5.063027584037e+05       1.416886284989e+04       2.929833120320e-02       6.852153901414e+09       5.522432970997e-01       1.505038193219e+11       2.816756759392e+08       1.511489234943e+09       3.462620761484e-08       1.040454989344e+11       2.563424831672e+11       2.563424831672e+11       8.484977275210e+10      -3.553275292172e+11       2.143348916052e-04       6.018255513482e-02 
       4.832158874090e+05       3.229922872666e-09       9.576188970877e-01       5.054887571619e+05       1.416886207978e+04       2.932195138244e-02       6.846633432319e+09       5.526876064727e-01       1.500194213975e+11       2.809954702139e+08       1.507839208621e+09       3.462620761484e-08       1.037106275408e+11       2.555188836171e+11       2.555188836171e+11       8.457668297943e+10      -3.538995716262e+11       2.143452881253e-04       6.018792592884e-02 
       4.828266077586e+05       3.235127125759e-09       9.583896223539e-01       5.046760657588e+05       1.416886130906e+04       2.934559060288e-02       6.841117410515e+09       5.531322725643e-01       1.495365825123e+11       2.803169070863e+08       1.504197996581e+09       3.462620761484e-08       1.033768339338e+11       2.546979313497e+11       2.546979313497e+11       8.430447214869e+10      -3.524773533757e+11       2.143556860780e-04       6.019330282342e-02 
       4.824376417121e+05       3.240339759374e-09       9.591609668405e-01       5.038646820855e+05       1.416886053771e+04       2.936924887987e-02       6.835605832422e+09       5.535772956597e-01       1.490552976485e+11       2.796399825898e+08       1.500565577538e+09       3.462620761484e-08       1.030441146446e+11       2.538796178532e+11       2.538796178532e+11       8.403313743101e+10      -3.510608513950e+11       2.143660854646e-04       6.019868582314e-02 
       4.820489890167e+05       3.245560786994e-09       9.599329310422e-01       5.030546040370e+05       1.416885976575e+04       2.939292622877e-02       6.830098694458e+09       5.540226760441e-01       1.485755618044e+11       2.789646927674e+08       1.496941930257e+09       3.462620761484e-08       1.027124662155e+11       2.530639346429e+11       2.530639346429e+11       8.376267600661e+10      -3.496500427065e+11       2.143764862862e-04       6.020407493260e-02 
       4.816606494200e+05       3.250790222124e-09       9.607055154538e-01       5.022458295114e+05       1.416885899316e+04       2.941662266494e-02       6.824595993047e+09       5.544684140034e-01       1.480973699945e+11       2.782910336715e+08       1.493327033557e+09       3.462620761484e-08       1.023818851999e+11       2.522508732616e+11       2.522508732616e+11       8.349308506479e+10      -3.482449044247e+11       2.143868885442e-04       6.020947015641e-02 
       4.812726226698e+05       3.256028078291e-09       9.614787205755e-01       5.014383564102e+05       1.416885821996e+04       2.944033820378e-02       6.819097724614e+09       5.549145098233e-01       1.476207172494e+11       2.776190013642e+08       1.489720866306e+09       3.462620761484e-08       1.020523681623e+11       2.514404252794e+11       2.514404252794e+11       8.322436180389e+10      -3.468454137563e+11       2.143972922396e-04       6.021487149918e-02 
       4.808849085141e+05       3.261274369044e-09       9.622525469003e-01       5.006321826383e+05       1.416885744613e+04       2.946407286067e-02       6.813603885589e+09       5.553609637899e-01       1.471455986155e+11       2.769485919171e+08       1.486123407423e+09       3.462620761484e-08       1.017239116783e+11       2.506325822932e+11       2.506325822932e+11       8.295650343128e+10      -3.454515479995e+11       2.144076973738e-04       6.022027896551e-02 
       4.804975067010e+05       3.266529107952e-09       9.630269949266e-01       4.998273061040e+05       1.416885667168e+04       2.948782665104e-02       6.808114472404e+09       5.558077761896e-01       1.466720091553e+11       2.762798014110e+08       1.482534635880e+09       3.462620761484e-08       1.013965123346e+11       2.498273359272e+11       2.498273359272e+11       8.268950716329e+10      -3.440632845439e+11       2.144181039479e-04       6.022569256001e-02 
