# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  120       4.500544484181e-10       1.373177295971e-13      -4.808008482948e-12       0.000000000000e+00 
  121       4.546520422541e-10       1.385427160601e-13      -4.884386742605e-12       0.000000000000e+00 
  122       4.592600956688e-10       1.397129399073e-13      -4.959358390995e-12       0.000000000000e+00 
  123       4.638772117054e-10       1.408270404425e-13      -5.032848596550e-12       0.000000000000e+00 
  124       4.685025722943e-10       1.418838830721e-13      -5.104785964555e-12       0.000000000000e+00 
  125       4.731354583430e-10       1.428824283117e-13      -5.175100154660e-12       0.000000000000e+00 
  126       4.777750811366e-10       1.438216871543e-13      -5.243721073208e-12       0.000000000000e+00 
  127       4.824205803149e-10       1.447007226503e-13      -5.310578908232e-12       0.000000000000e+00 
  128       4.870710218505e-10       1.455186514862e-13      -5.375604164456e-12       0.000000000000e+00 
  129       4.917253960260e-10       1.462746455649e-13      -5.438727698294e-12       0.000000000000e+00 
  130       4.963826154122e-10       1.469679335845e-13      -5.499880752852e-12       0.000000000000e+00 
  131       5.010415128451e-10       1.475978026184e-13      -5.558994992922e-12       0.000000000000e+00 
  132       5.057008394042e-10       1.481635996945e-13      -5.616002539986e-12       0.000000000000e+00 
  133       5.103592623897e-10       1.486647333748e-13      -5.670836007213e-12       0.000000000000e+00 
  134       5.150153633005e-10       1.491006753349e-13      -5.723428534459e-12       0.000000000000e+00 
  135       5.196676358116e-10       1.494709619433e-13      -5.773713823266e-12       0.000000000000e+00 
  136       5.243144837519e-10       1.497751958415e-13      -5.821626171863e-12       0.000000000000e+00 
  137       5.289543609849e-10       1.500130754123e-13      -5.867101160331e-12       0.000000000000e+00 
  138       5.335862116681e-10       1.501844832862e-13      -5.910077712051e-12       0.000000000000e+00 
  139       5.382090719294e-10       1.502894100313e-13      -5.950496312924e-12       0.000000000000e+00 
  140       5.428219309395e-10       1.503279288256e-13      -5.988298419112e-12       0.000000000000e+00 
  141       5.474237297912e-10       1.503001972138e-13      -6.023426496158e-12       0.000000000000e+00 
  142       5.520133603771e-10       1.502064588637e-13      -6.055824058115e-12       0.000000000000e+00 
  143       5.565896642681e-10       1.500470453225e-13      -6.085435706670e-12       0.000000000000e+00 
  144       5.611514315921e-10       1.498223777739e-13      -6.112207170275e-12       0.000000000000e+00 
  145       5.656973999117e-10       1.495329687939e-13      -6.136085343267e-12       0.000000000000e+00 
  146       5.702262531031e-10       1.491794241081e-13      -6.157018324996e-12       0.000000000000e+00 
  147       5.747366202343e-10       1.487624443476e-13      -6.174955458954e-12       0.000000000000e+00 
  148       5.792270744432e-10       1.482828268057e-13      -6.189847371898e-12       0.000000000000e+00 
