# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       9.866198609765e+09       7.765946229406e-18       4.698382508650e-05       2.099914086756e+14       1.417455627030e+04       1.436678586100e-06       1.398489873822e+14       2.712612318281e-05       2.607224850411e+28       2.390419591066e+21       1.282299288905e+22       3.463959279501e-08       1.802412800004e+28       4.409639171756e+28       4.409639171756e+28       1.469879216805e+28      -1.251391825756e+33       1.052059913337e-04       1.028407453636e-01 
       9.858250397595e+09       7.778473861640e-18       4.702170554083e-05       2.096532067204e+14       1.417455627026e+04       1.437836907884e-06       1.397363250012e+14       2.714799361127e-05       2.598833473291e+28       2.384647075969e+21       1.279202722916e+22       3.463959279501e-08       1.796611717857e+28       4.395446708815e+28       4.395446708815e+28       1.465148397049e+28      -1.246359332915e+33       1.052147110084e-04       1.028322228345e-01 
       9.850308588507e+09       7.791021702818e-18       4.705961691798e-05       2.093155494569e+14       1.417455627022e+04       1.438996163564e-06       1.396237533810e+14       2.716988167275e-05       2.590469103895e+28       2.378888500656e+21       1.276113634683e+22       3.463959279501e-08       1.790829306547e+28       4.381299924445e+28       4.381299924445e+28       1.460432803481e+28      -1.241347078328e+33       1.052234306830e-04       1.028237017181e-01 
       9.842373177342e+09       7.803589785539e-18       4.709755739896e-05       2.089784360078e+14       1.417455627018e+04       1.440156353894e-06       1.395112724485e+14       2.719178738147e-05       2.582131655299e+28       2.373143831462e+21       1.273032006149e+22       3.463959279501e-08       1.785065505981e+28       4.367198671626e+28       4.367198671626e+28       1.455732387093e+28      -1.236354980606e+33       1.052321503577e-04       1.028151820142e-01 
       9.834444158947e+09       7.816178142456e-18       4.713553062174e-05       2.086418654972e+14       1.417455627014e+04       1.441317479627e-06       1.393988821308e+14       2.721371075166e-05       2.573821040858e+28       2.367413034808e+21       1.269957819298e+22       3.463959279501e-08       1.779320256260e+28       4.353142803817e+28       4.353142803817e+28       1.451047099039e+28      -1.231382958687e+33       1.052408700325e-04       1.028066637224e-01 
       9.826521528171e+09       7.828786806274e-18       4.717353294836e-05       2.083058370508e+14       1.417455627011e+04       1.442479541517e-06       1.392865823546e+14       2.723565179756e-05       2.565537174205e+28       2.361696077193e+21       1.266891056161e+22       3.463959279501e-08       1.773593497678e+28       4.339132174944e+28       4.339132174944e+28       1.446376890628e+28      -1.226430931836e+33       1.052495897072e-04       1.027981468424e-01 
       9.818605279868e+09       7.841415809752e-18       4.721156801679e-05       2.079703497955e+14       1.417455627007e+04       1.443642540320e-06       1.391743730472e+14       2.725761053342e-05       2.557279969254e+28       2.355992925198e+21       1.263831698810e+22       3.463959279501e-08       1.767885170721e+28       4.325166639405e+28       4.325166639405e+28       1.441721713325e+28      -1.221498819642e+33       1.052583093820e-04       1.027896313738e-01 
       9.810695408897e+09       7.854065185698e-18       4.724963218905e-05       2.076354028596e+14       1.417455627003e+04       1.444806476790e-06       1.390622541357e+14       2.727958697350e-05       2.549049340192e+28       2.350303545485e+21       1.260779729361e+22       3.463959279501e-08       1.762195216066e+28       4.311246052069e+28       4.311246052069e+28       1.437081518753e+28      -1.216586542020e+33       1.052670290569e-04       1.027811173163e-01 
       9.802791910120e+09       7.866734966978e-18       4.728772728413e-05       2.073009953731e+14       1.417455626999e+04       1.445971351683e-06       1.389502255472e+14       2.730158113207e-05       2.540845201486e+28       2.344627904794e+21       1.257735129974e+22       3.463959279501e-08       1.756523574583e+28       4.297370268267e+28       4.297370268267e+28       1.432456258690e+28      -1.211694019203e+33       1.052757487318e-04       1.027726046695e-01 
       9.794894778404e+09       7.879425186507e-18       4.732585148304e-05       2.069671264670e+14       1.417455626995e+04       1.447137165757e-06       1.388382872089e+14       2.732359302343e-05       2.532667467875e+28       2.338965969949e+21       1.254697882851e+22       3.463959279501e-08       1.750870187330e+28       4.283539143800e+28       4.283539143800e+28       1.427845885069e+28      -1.206821171747e+33       1.052844684067e-04       1.027640934330e-01 
       9.787004008619e+09       7.892135877254e-18       4.736400842376e-05       2.066337952739e+14       1.417455626992e+04       1.448303919768e-06       1.387264390482e+14       2.734562266187e-05       2.524516054376e+28       2.333317707852e+21       1.251667970238e+22       3.463959279501e-08       1.745234995556e+28       4.269752534932e+28       4.269752534932e+28       1.423250349977e+28      -1.201967920527e+33       1.052931880816e-04       1.027555836066e-01 
       9.779119595640e+09       7.904867072243e-18       4.740219628729e-05       2.063010009279e+14       1.417455626988e+04       1.449471614474e-06       1.386146809924e+14       2.736767006169e-05       2.516390876275e+28       2.327683085485e+21       1.248645374422e+22       3.463959279501e-08       1.739617940699e+28       4.256010298387e+28       4.256010298387e+28       1.418669605658e+28      -1.197134186737e+33       1.053019077566e-04       1.027470751898e-01 
