# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.784456823494e+06       2.373019962908e-10       2.596503874065e-01       6.875877587501e+06       1.399411029896e+04       7.842219700973e-03       2.497189960582e+10       1.498949745364e-01       2.790000123767e+13       1.414306186924e+10       7.586801181535e+10       4.183432630307e-08       1.928768028694e+13       4.727769259829e+13       4.727769259829e+13       1.572922717487e+13      -2.424315983857e+14       2.051574144763e-04       5.705738950886e-02 
       1.783019263807e+06       2.376846996624e-10       2.598596311636e-01       6.864808901084e+06       1.399411008972e+04       7.848542371492e-03       2.495178186391e+10       1.500157585019e-01       2.781020482751e+13       1.410890843507e+10       7.568480161860e+10       4.183432630307e-08       1.922560271084e+13       4.712560124841e+13       4.712560124841e+13       1.567860251278e+13      -2.414568410042e+14       2.051668484623e-04       5.705702549431e-02 
       1.781582862218e+06       2.380680198859e-10       2.600690434574e-01       6.853758037109e+06       1.399410988030e+04       7.854870139474e-03       2.493168032886e+10       1.501366397358e-01       2.772069742793e+13       1.407483747646e+10       7.550203384780e+10       4.183432630307e-08       1.916372493199e+13       4.697399923124e+13       4.697399923124e+13       1.562814078664e+13      -2.404860030291e+14       2.051762828219e-04       5.705666332991e-02 
       1.780147617795e+06       2.384519579463e-10       2.602786244242e-01       6.842724966875e+06       1.399410967072e+04       7.861203009028e-03       2.491159498761e+10       1.502576183160e-01       2.763147810873e+13       1.404084879426e+10       7.531970743454e+10       4.183432630307e-08       1.910204630734e+13       4.682288497230e+13       4.682288497230e+13       1.557784147202e+13      -2.395190687004e+14       2.051857175557e-04       5.705630301687e-02 
       1.778713529605e+06       2.388365148296e-10       2.604883742006e-01       6.831709661727e+06       1.399410946097e+04       7.867540984266e-03       2.489152582711e+10       1.503786943209e-01       2.754254594273e+13       1.400694218977e+10       7.513782131300e+10       4.183432630307e-08       1.904056619591e+13       4.667225690214e+13       4.667225690214e+13       1.552770404621e+13      -2.385560223214e+14       2.051951526638e-04       5.705594455640e-02 
       1.777280596716e+06       2.392216915236e-10       2.606982929210e-01       6.820712093058e+06       1.399410925106e+04       7.873884069306e-03       2.487147283434e+10       1.504998678286e-01       2.745390000572e+13       1.397311746479e+10       7.495637441996e+10       4.183432630307e-08       1.897928395878e+13       4.652211345638e+13       4.652211345638e+13       1.547772798817e+13      -2.375968482586e+14       2.052045881466e-04       5.705558794973e-02 
       1.775848818199e+06       2.396074890174e-10       2.609083807220e-01       6.809732232304e+06       1.399410904097e+04       7.880232268266e-03       2.485143599626e+10       1.506211389174e-01       2.736553937648e+13       1.393937442159e+10       7.477536569473e+10       4.183432630307e-08       1.891819895909e+13       4.637245307569e+13       4.637245307569e+13       1.542791277852e+13      -2.366415309412e+14       2.052140240045e-04       5.705523319806e-02 
       1.774418193123e+06       2.399939083016e-10       2.611186377380e-01       6.798770050951e+06       1.399410883071e+04       7.886585585269e-03       2.483141529987e+10       1.507425076658e-01       2.727746313673e+13       1.390571286293e+10       7.459479407920e+10       4.183432630307e-08       1.885731056204e+13       4.622327420571e+13       4.622327420571e+13       1.537825789959e+13      -2.356900548613e+14       2.052234602376e-04       5.705488030261e-02 
       1.772988720559e+06       2.403809503682e-10       2.613290641057e-01       6.787825520528e+06       1.399410862028e+04       7.892944024441e-03       2.481141073215e+10       1.508639741521e-01       2.718967037117e+13       1.387213259203e+10       7.441465851782e+10       4.183432630307e-08       1.879661813485e+13       4.607457529713e+13       4.607457529713e+13       1.532876283534e+13      -2.347424045730e+14       2.052328968465e-04       5.705452926459e-02 
       1.771560399579e+06       2.407686162109e-10       2.615396599631e-01       6.776898612610e+06       1.399410840969e+04       7.899307589913e-03       2.479142228012e+10       1.509855384549e-01       2.710216016743e+13       1.383863341259e+10       7.423495795758e+10       4.183432630307e-08       1.873612104680e+13       4.592635480559e+13       4.592635480559e+13       1.527942707141e+13      -2.337985646929e+14       2.052423338313e-04       5.705418008522e-02 
