# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       3.270966897815e-03       3.047200000000e+02       6.654500652556e+02       4.224167153729e-04       1.535704397489e-05       9.440634182582e-01       1.449802342928e-05       7.844712612236e+02       2.975484165333e+00       5.881547625332e-11       8.154942202020e-11       1.456482069531e-03 
       3.265652681509e-03       3.052175000000e+02       6.647443243938e+02       4.228690988833e-04       1.542356592613e-05       9.440531643269e-01       1.456066621777e-05       7.859514178003e+02       2.974902523863e+00       5.892647513997e-11       8.169297429409e-11       1.461380556986e-03 
       3.260355704807e-03       3.057150000000e+02       6.640403524510e+02       4.233222007436e-04       1.549030281336e-05       9.440428919273e-01       1.462351026476e-05       7.874312852001e+02       2.974321550374e+00       5.903745247761e-11       8.183649571813e-11       1.466295899753e-03 
       3.255075883957e-03       3.062125000000e+02       6.633381422137e+02       4.237760231927e-04       1.555725523611e-05       9.440326010340e-01       1.468655612550e-05       7.889108637744e+02       2.973741254741e+00       5.914840829292e-11       8.197998641983e-11       1.471228139093e-03 
       3.249813135745e-03       3.067100000000e+02       6.626376865094e+02       4.242305684768e-04       1.562442379609e-05       9.440222916218e-01       1.474980435725e-05       7.903901538776e+02       2.973161646623e+00       5.925934261279e-11       8.212344652572e-11       1.476177316368e-03 
       3.244567377497e-03       3.072075000000e+02       6.619389782060e+02       4.246858388499e-04       1.569180909717e-05       9.440119636651e-01       1.481325551928e-05       7.918691558671e+02       2.972582735461e+00       5.937025546430e-11       8.226687616138e-11       1.481143473041e-03 
       3.239338527073e-03       3.077050000000e+02       6.612420102120e+02       4.251418365733e-04       1.575941174543e-05       9.440016171386e-01       1.487691017284e-05       7.933478701026e+02       2.972004530485e+00       5.948114687478e-11       8.241027545143e-11       1.486126650680e-03 
       3.234126502858e-03       3.082025000000e+02       6.605467754760e+02       4.255985639159e-04       1.582723234914e-05       9.439912520165e-01       1.494076888122e-05       7.948262969468e+02       2.971427040719e+00       5.959201687172e-11       8.255364451955e-11       1.491126890952e-03 
       3.228931223765e-03       3.087000000000e+02       6.598532669860e+02       4.260560231539e-04       1.589527151879e-05       9.439808682732e-01       1.500483220975e-05       7.963044367652e+02       2.970850274984e+00       5.970286548286e-11       8.269698348851e-11       1.496144235631e-03 
       3.223752609225e-03       3.091975000000e+02       6.591614777700e+02       4.265142158688e-04       1.596352984077e-05       9.439704658830e-01       1.506910070093e-05       7.977822908587e+02       2.970274294028e+00       5.981369280601e-11       8.284029295417e-11       1.501178726590e-03 
