# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:kappa_b            
       1.637980844633e-04       6.104077500000e+03       6.755185791156e+01       1.145302605232e+00       1.660433329224e+01      6.829796583925e-287      1.134042187977e-285       1.663938788895e+04       2.725501702363e+00       2.567258583916e-09       3.423012022791e-09       3.751999648359e+03 
       1.637847377192e-04       6.104575000000e+03       6.754690049744e+01       1.145344342514e+00       1.660764475782e+01      6.290069537774e-287      1.044632403854e-285       1.664074382530e+04       2.725501753860e+00       2.567515903987e-09       3.423355132439e-09       3.752740484316e+03 
       1.637713931500e-04       6.105072500000e+03       6.754194381887e+01       1.145386006135e+00       1.661095557291e+01      5.792970290603e-287      9.622677213242e-286       1.664209976164e+04       2.725501809730e+00       2.567773146974e-09       3.423698140686e-09       3.753481418420e+03 
       1.637580507552e-04       6.105570000000e+03       6.753698787567e+01       1.145427596110e+00       1.661426573725e+01      5.335134038154e-287      8.863933465375e-286       1.664345569799e+04       2.725501869897e+00       2.568030312876e-09       3.424041047504e-09       3.754222450632e+03 
       1.637447105341e-04       6.106067500000e+03       6.753203266768e+01       1.145469112457e+00       1.661757525058e+01      4.913461418796e-287      8.164981486766e-286       1.664481163433e+04       2.725501910586e+00       2.568287401690e-09       3.424383845426e-09       3.754963580907e+03 
       1.637313724864e-04       6.106565000000e+03       6.752707819473e+01       1.145510555193e+00       1.662088411265e+01      4.525097585847e-287      7.521112257279e-286       1.664616757068e+04       2.725501967259e+00       2.568544413417e-09       3.424726545586e-09       3.755704809205e+03 
       1.637180366114e-04       6.107062500000e+03       6.752212445667e+01       1.145551924335e+00       1.662419232323e+01      4.167412928828e-287      6.927987401916e-286       1.664752350702e+04       2.725502004287e+00       2.568801348055e-09       3.425069136796e-09       3.756446135483e+03 
       1.637047029087e-04       6.107560000000e+03       6.751717145333e+01       1.145593219904e+00       1.662749988210e+01      3.837985313829e-287      6.381610035317e-286       1.664887944337e+04       2.725502045287e+00       2.569058205607e-09       3.425411626472e-09       3.757187559699e+03 
       1.636913713777e-04       6.108057500000e+03       6.751221918453e+01       1.145634441917e+00       1.663080678902e+01      3.534583723350e-287      5.878297898265e-286       1.665023537971e+04       2.725502090178e+00       2.569314986073e-09       3.425754014593e-09       3.757929081812e+03 
       1.636780420178e-04       6.108555000000e+03       6.750726765012e+01       1.145675590394e+00       1.663411304380e+01      3.255153185407e-287      5.414658606095e-286       1.665159131606e+04       2.725502127023e+00       2.569571689455e-09       3.426096297410e-09       3.758670701779e+03 
       1.636647148286e-04       6.109052500000e+03       6.750231684993e+01       1.145716665357e+00       1.663741864623e+01      2.997800890375e-287      4.987566843121e-286       1.665294725240e+04       2.725502155737e+00       2.569828315757e-09       3.426438474899e-09       3.759412419559e+03 
       1.636513898094e-04       6.109550000000e+03       6.749736678379e+01       1.145757666825e+00       1.664072359612e+01      2.760783401999e-287      4.594143350141e-286       1.665430318875e+04       2.725502199947e+00       2.570084864981e-09       3.426780554492e-09       3.760154235108e+03 
       1.636380669599e-04       6.110047500000e+03       6.749241745154e+01       1.145798594822e+00       1.664402789328e+01      2.542494876424e-287      4.231735564173e-286       1.665565912509e+04       2.725502223998e+00       2.570341337133e-09       3.427122524986e-09       3.760896148386e+03 
       1.636247462794e-04       6.110545000000e+03       6.748746885302e+01       1.145839449368e+00       1.664733153755e+01      2.341456209790e-287      3.897899780501e-286       1.665701506144e+04       2.725502263377e+00       2.570597732217e-09       3.427464397544e-09       3.761638159351e+03 
       1.636114277674e-04       6.111042500000e+03       6.748252098806e+01       1.145880230487e+00       1.665063452875e+01      2.156305041291e-287      3.590384717503e-286       1.665837099778e+04       2.725502282420e+00       2.570854050238e-09       3.427806160960e-09       3.762380267959e+03 
       1.635981114234e-04       6.111540000000e+03       6.747757385650e+01       1.145920938203e+00       1.665393686672e+01      1.985786544302e-287      3.307116373959e-286       1.665972693412e+04       2.725502304759e+00       2.571110291204e-09       3.428147822673e-09       3.763122474170e+03 
